Index,Lat,Lon,Alt (MSL),Alt (HAE),jamind,SVs Used,Fix type (GPS) valid,Fix type (GPS),UTC,GPS time,noise (GPS),DGPS,HDOP,PDOP
27,53.09920000,49.96978550,1012.200,1005.800,11.0,10,Yes,3D,21:56:54.000 02/02/2026,2404:165432.000,56,No,1.1,2.3
28,53.09921167,49.96937033,1011.900,1005.500,11.0,10,Yes,3D,21:56:55.000 02/02/2026,2404:165433.000,56,No,1.1,2.3
29,53.09922800,49.96896400,1011.700,1005.300,12.2,10,Yes,3D,21:56:56.000 02/02/2026,2404:165434.000,56,No,1.2,2.3
30,53.09924867,49.96855583,1011.300,1004.900,11.4,10,Yes,3D,21:56:57.000 02/02/2026,2404:165435.000,56,No,1.2,2.3
31,53.09927617,49.96815350,1010.100,1003.700,12.2,10,Yes,3D,21:56:58.000 02/02/2026,2404:165436.000,56,No,0.9,1.9
32,53.09930683,49.96775300,1008.900,1002.500,11.8,10,Yes,3D,21:56:59.000 02/02/2026,2404:165437.000,57,No,0.9,1.9
33,53.09934083,49.96735233,1007.700,1001.300,11.4,10,Yes,3D,21:57:00.000 02/02/2026,2404:165438.000,57,No,0.9,1.9
34,53.09937783,49.96695217,1006.400,1000.000,11.8,10,Yes,3D,21:57:01.000 02/02/2026,2404:165439.000,57,No,0.9,1.9
35,53.09941700,49.96655200,1005.100,998.700,12.2,10,Yes,3D,21:57:02.000 02/02/2026,2404:165440.000,57,No,0.9,1.9
36,53.09946867,49.96614633,1006.100,999.700,11.4,10,Yes,3D,21:57:03.000 02/02/2026,2404:165441.000,57,No,0.9,1.9
37,53.09952300,49.96574150,1007.100,1000.700,11.4,10,Yes,3D,21:57:04.000 02/02/2026,2404:165442.000,57,No,0.9,1.9
38,53.09958467,49.96534817,1009.700,1003.300,11.0,10,Yes,3D,21:57:05.000 02/02/2026,2404:165443.000,57,No,0.9,2.0
39,53.09965033,49.96493850,1009.500,1003.100,11.8,10,Yes,3D,21:57:06.000 02/02/2026,2404:165444.000,56,No,0.9,1.9
40,53.09972033,49.96454133,1011.200,1004.800,12.2,10,Yes,3D,21:57:07.000 02/02/2026,2404:165445.000,57,No,0.9,2.0
41,53.09978267,49.96413283,1012.100,1005.700,12.2,10,Yes,3D,21:57:08.000 02/02/2026,2404:165446.000,56,No,1.0,2.1
42,53.09985583,49.96373233,1013.300,1006.900,11.4,10,Yes,3D,21:57:09.000 02/02/2026,2404:165447.000,56,No,0.9,1.9
43,53.09993617,49.96332617,1015.800,1009.400,10.6,10,Yes,3D,21:57:10.000 02/02/2026,2404:165448.000,56,No,0.9,2.1
44,53.09999583,49.96292933,1014.500,1008.100,11.4,10,Yes,3D,21:57:11.000 02/02/2026,2404:165449.000,57,No,1.2,2.1
45,53.10007433,49.96252583,1016.000,1009.600,12.5,10,Yes,3D,21:57:12.000 02/02/2026,2404:165450.000,57,No,0.9,2.1
46,53.10014050,49.96213467,1014.300,1007.900,12.5,10,Yes,3D,21:57:13.000 02/02/2026,2404:165451.000,56,No,1.3,2.2
47,53.10020867,49.96173367,1021.500,1015.100,11.4,10,Yes,3D,21:57:14.000 02/02/2026,2404:165452.000,56,No,0.9,1.9
48,53.10025900,49.96136117,1023.800,1017.400,11.8,10,Yes,3D,21:57:15.000 02/02/2026,2404:165453.000,57,No,0.9,1.9
49,,,,,11.4,0,No,,21:57:16.000 02/02/2026,2404:165454.000,57,No,100.0,100.0
50,53.10039633,49.96057250,1023.400,1017.000,11.0,10,Yes,3D,21:57:17.000 02/02/2026,2404:165455.000,57,No,1.0,2.0
51,,,,,12.2,0,No,,21:57:18.000 02/02/2026,2404:165456.000,57,No,100.0,100.0
52,53.10055033,49.95981350,1024.300,1018.000,11.8,10,Yes,3D,21:57:19.000 02/02/2026,2404:165457.000,57,No,1.0,2.0
53,53.10059800,49.95942883,1022.800,1016.500,11.8,10,Yes,3D,21:57:20.000 02/02/2026,2404:165458.000,56,No,1.0,2.0
54,,,,,11.8,0,No,,21:57:21.000 02/02/2026,2404:165459.000,56,No,100.0,100.0
55,53.10077667,49.95864400,1019.300,1013.000,12.5,10,Yes,3D,21:57:22.000 02/02/2026,2404:165460.000,56,No,1.1,2.1
56,53.10087733,49.95826117,1018.900,1012.600,11.4,10,Yes,3D,21:57:23.000 02/02/2026,2404:165461.000,56,No,13.1,13.2
57,53.10098600,49.95784017,1019.500,1013.200,11.4,10,Yes,3D,21:57:24.000 02/02/2026,2404:165462.000,56,No,1.4,2.6
58,53.10110100,49.95740767,1020.800,1014.500,11.4,10,Yes,3D,21:57:25.000 02/02/2026,2404:165463.000,56,No,1.4,2.6
59,53.10125333,49.95709433,1027.600,1021.300,11.4,10,Yes,3D,21:57:26.000 02/02/2026,2404:165464.000,56,No,0.9,1.9
60,53.10140767,49.95677583,1033.500,1027.200,11.4,10,Yes,3D,21:57:27.000 02/02/2026,2404:165465.000,57,No,0.9,1.9
61,53.10154083,49.95642100,1037.100,1030.800,11.4,10,Yes,3D,21:57:28.000 02/02/2026,2404:165466.000,57,No,0.9,1.9
62,53.10165900,49.95603267,1040.000,1033.700,11.8,10,Yes,3D,21:57:29.000 02/02/2026,2404:165467.000,57,No,1.2,2.8
63,53.10178150,49.95567467,1039.500,1033.200,11.8,10,Yes,3D,21:57:30.000 02/02/2026,2404:165468.000,57,No,1.6,3.2
64,53.10187050,49.95533033,1040.800,1034.500,12.5,10,Yes,3D,21:57:31.000 02/02/2026,2404:165469.000,57,No,1.0,2.0
65,53.10194117,49.95500583,1032.700,1026.400,11.8,10,Yes,3D,21:57:32.000 02/02/2026,2404:165470.000,57,No,1.0,2.0
66,,,,,11.4,0,No,,21:57:33.000 02/02/2026,2404:165471.000,57,No,100.0,100.0
67,53.10218267,49.95429950,1028.300,1022.000,11.8,10,Yes,3D,21:57:34.000 02/02/2026,2404:165472.000,57,No,1.0,2.0
68,53.10228550,49.95394733,1022.000,1015.700,11.4,10,Yes,3D,21:57:35.000 02/02/2026,2404:165473.000,57,No,1.0,2.0
69,53.10238983,49.95360283,1015.700,1009.400,11.8,10,Yes,3D,21:57:36.000 02/02/2026,2404:165474.000,57,No,1.0,2.0
70,53.10250983,49.95326050,1010.900,1004.600,11.4,10,Yes,3D,21:57:37.000 02/02/2026,2404:165475.000,57,No,1.0,2.0
71,,,,,12.2,0,No,,21:57:38.000 02/02/2026,2404:165476.000,57,No,100.0,100.0
72,53.10278283,49.95261317,1012.200,1005.900,11.8,10,Yes,3D,21:57:39.000 02/02/2026,2404:165477.000,57,No,1.0,2.1
73,53.10290650,49.95228450,1012.700,1006.400,11.4,10,Yes,3D,21:57:40.000 02/02/2026,2404:165478.000,57,No,1.0,2.0
74,53.10304083,49.95195233,1012.600,1006.300,11.4,10,Yes,3D,21:57:41.000 02/02/2026,2404:165479.000,57,No,1.0,2.0
75,,,,,11.0,0,No,,21:57:42.000 02/02/2026,2404:165480.000,57,No,100.0,100.0
76,53.10336750,49.95130433,1010.000,1003.700,11.0,10,Yes,3D,21:57:43.000 02/02/2026,2404:165481.000,57,No,1.0,2.0
77,53.10354283,49.95097850,1005.700,999.400,11.4,10,Yes,3D,21:57:44.000 02/02/2026,2404:165482.000,57,No,1.0,2.0
78,53.10371067,49.95066583,1005.700,999.400,11.8,10,Yes,3D,21:57:45.000 02/02/2026,2404:165483.000,57,No,2.6,3.7
79,53.10388667,49.95036250,1003.200,996.900,11.4,10,Yes,3D,21:57:46.000 02/02/2026,2404:165484.000,57,No,0.9,1.9
80,53.10409133,49.95003850,1003.600,997.300,11.4,10,Yes,3D,21:57:47.000 02/02/2026,2404:165485.000,57,No,0.9,1.9
81,53.10430667,49.94971183,1004.100,997.800,11.4,10,Yes,3D,21:57:48.000 02/02/2026,2404:165486.000,57,No,0.9,1.9
82,53.10448367,49.94942133,1004.100,997.800,11.0,10,Yes,3D,21:57:49.000 02/02/2026,2404:165487.000,57,No,0.9,1.9
83,53.10466267,49.94913533,1004.000,997.700,11.4,10,Yes,3D,21:57:50.000 02/02/2026,2404:165488.000,57,No,0.9,1.9
84,53.10484450,49.94885333,1003.800,997.500,12.2,10,Yes,3D,21:57:51.000 02/02/2026,2404:165489.000,57,No,0.9,1.9
85,53.10502917,49.94857583,1003.700,997.400,11.8,10,Yes,3D,21:57:52.000 02/02/2026,2404:165490.000,57,No,0.9,1.9
86,53.10521633,49.94830200,1003.700,997.400,12.9,10,Yes,3D,21:57:53.000 02/02/2026,2404:165491.000,57,No,0.9,1.9
87,53.10540500,49.94803367,1003.700,997.400,10.6,10,Yes,3D,21:57:54.000 02/02/2026,2404:165492.000,57,No,0.9,1.9
88,53.10559583,49.94776933,1003.400,997.100,11.8,10,Yes,3D,21:57:55.000 02/02/2026,2404:165493.000,57,No,0.9,1.9
89,53.10578917,49.94751050,1003.300,997.000,11.0,10,Yes,3D,21:57:56.000 02/02/2026,2404:165494.000,57,No,0.9,1.9
90,53.10598433,49.94725533,1003.100,996.800,11.8,10,Yes,3D,21:57:57.000 02/02/2026,2404:165495.000,57,No,0.9,1.9
91,53.10618183,49.94700483,1003.000,996.700,11.8,10,Yes,3D,21:57:58.000 02/02/2026,2404:165496.000,57,No,0.9,1.9
92,53.10638117,49.94675883,1002.800,996.500,11.8,10,Yes,3D,21:57:59.000 02/02/2026,2404:165497.000,57,No,0.9,1.9
93,53.10658217,49.94651817,1002.600,996.300,11.4,10,Yes,3D,21:58:00.000 02/02/2026,2404:165498.000,57,No,0.9,1.9
94,53.10678533,49.94628133,1002.500,996.200,10.6,10,Yes,3D,21:58:01.000 02/02/2026,2404:165499.000,57,No,0.9,1.9
95,53.10699067,49.94604850,1002.300,996.000,10.6,10,Yes,3D,21:58:02.000 02/02/2026,2404:165500.000,57,No,0.9,1.9
96,53.10719817,49.94582017,1002.200,995.900,10.6,10,Yes,3D,21:58:03.000 02/02/2026,2404:165501.000,57,No,0.9,1.9
97,53.10740750,49.94559733,1002.000,995.700,10.6,10,Yes,3D,21:58:04.000 02/02/2026,2404:165502.000,57,No,0.9,1.9
98,53.10761833,49.94537900,1001.900,995.600,11.0,10,Yes,3D,21:58:05.000 02/02/2026,2404:165503.000,57,No,0.9,1.9
99,53.10783017,49.94521383,987.200,980.900,10.2,10,Yes,3D,21:58:06.000 02/02/2026,2404:165504.000,57,No,0.9,1.9
100,53.10804383,49.94505550,972.300,966.000,10.6,10,Yes,3D,21:58:07.000 02/02/2026,2404:165505.000,57,No,0.9,1.9
101,53.10825817,49.94489617,958.700,952.400,11.0,10,Yes,3D,21:58:08.000 02/02/2026,2404:165506.000,57,No,0.9,1.9
102,53.10847567,49.94473200,948.400,942.100,10.6,10,Yes,3D,21:58:09.000 02/02/2026,2404:165507.000,57,No,0.9,1.9
103,53.10869450,49.94456933,939.000,932.700,10.6,10,Yes,3D,21:58:10.000 02/02/2026,2404:165508.000,57,No,0.9,1.9
104,53.10891567,49.94437733,940.000,933.700,11.4,10,Yes,3D,21:58:11.000 02/02/2026,2404:165509.000,57,No,0.9,1.9
105,53.10913867,49.94419050,940.900,934.600,11.8,10,Yes,3D,21:58:12.000 02/02/2026,2404:165510.000,57,No,0.9,1.9
106,53.10936333,49.94400833,941.900,935.600,11.0,10,Yes,3D,21:58:13.000 02/02/2026,2404:165511.000,57,No,0.9,1.9
107,53.10958917,49.94383133,942.700,936.400,10.6,10,Yes,3D,21:58:14.000 02/02/2026,2404:165512.000,57,No,0.9,1.9
108,53.10981733,49.94365983,943.700,937.400,11.0,10,Yes,3D,21:58:15.000 02/02/2026,2404:165513.000,57,No,0.9,1.9
109,53.11004717,49.94349317,944.700,938.400,8.2,10,Yes,3D,21:58:16.000 02/02/2026,2404:165514.000,57,No,0.9,1.9
110,53.11027800,49.94333033,945.900,939.600,7.5,10,Yes,3D,21:58:17.000 02/02/2026,2404:165515.000,53,No,0.9,1.9
111,53.11051150,49.94318083,946.500,940.200,8.2,10,Yes,3D,21:58:18.000 02/02/2026,2404:165516.000,53,No,1.0,2.1
112,53.11074633,49.94303650,947.000,940.700,10.6,10,Yes,3D,21:58:19.000 02/02/2026,2404:165517.000,53,No,1.0,2.1
113,53.11098133,49.94288917,948.800,942.500,11.4,10,Yes,3D,21:58:20.000 02/02/2026,2404:165518.000,59,No,0.9,1.9
114,53.11130150,49.94270950,940.400,934.100,8.2,10,Yes,3D,21:58:21.000 02/02/2026,2404:165519.000,55,No,0.9,1.9
115,53.11162500,49.94250333,946.000,939.700,8.6,10,Yes,3D,21:58:22.000 02/02/2026,2404:165520.000,51,No,1.0,1.9
116,53.11193117,49.94232000,950.700,944.400,7.5,10,Yes,3D,21:58:23.000 02/02/2026,2404:165521.000,51,No,1.0,1.9
117,53.11224033,49.94213400,954.700,948.400,7.5,10,Yes,3D,21:58:24.000 02/02/2026,2404:165522.000,51,No,1.0,2.0
118,53.11254467,49.94196300,958.600,952.300,7.8,10,Yes,3D,21:58:25.000 02/02/2026,2404:165523.000,51,No,1.0,2.0
119,53.11284150,49.94180650,962.600,956.300,7.8,10,Yes,3D,21:58:26.000 02/02/2026,2404:165524.000,51,No,1.0,1.9
120,53.11312633,49.94166583,965.900,959.600,7.5,10,Yes,3D,21:58:27.000 02/02/2026,2404:165525.000,51,No,1.0,1.9
121,53.11340800,49.94153550,968.900,962.600,8.2,10,Yes,3D,21:58:28.000 02/02/2026,2404:165526.000,51,No,1.0,1.9
122,53.11368633,49.94141317,971.700,965.400,7.5,10,Yes,3D,21:58:29.000 02/02/2026,2404:165527.000,51,No,1.0,1.9
123,53.11396633,49.94129450,974.600,968.300,8.2,10,Yes,3D,21:58:30.000 02/02/2026,2404:165528.000,51,No,1.0,1.9
124,53.11423867,49.94118900,977.000,970.700,7.8,10,Yes,3D,21:58:31.000 02/02/2026,2404:165529.000,51,No,1.0,1.9
125,53.11447767,49.94112400,977.900,971.600,7.5,10,Yes,3D,21:58:32.000 02/02/2026,2404:165530.000,51,No,1.0,1.9
126,53.11471500,49.94106967,978.800,972.500,7.5,10,Yes,3D,21:58:33.000 02/02/2026,2404:165531.000,51,No,1.0,2.0
127,53.11495083,49.94102100,979.700,973.400,7.5,10,Yes,3D,21:58:34.000 02/02/2026,2404:165532.000,51,No,1.0,2.0
128,53.11518783,49.94097533,980.500,974.200,7.8,10,Yes,3D,21:58:35.000 02/02/2026,2404:165533.000,51,No,1.0,2.0
129,53.11542567,49.94093467,981.100,974.800,7.8,10,Yes,3D,21:58:36.000 02/02/2026,2404:165534.000,51,No,1.0,2.0
130,53.11566250,49.94090017,981.900,975.600,7.5,10,Yes,3D,21:58:37.000 02/02/2026,2404:165535.000,51,No,1.0,2.0
131,53.11589500,49.94086367,982.500,976.200,7.8,10,Yes,3D,21:58:38.000 02/02/2026,2404:165536.000,51,No,1.0,1.9
132,53.11612933,49.94083350,983.000,976.700,7.8,10,Yes,3D,21:58:39.000 02/02/2026,2404:165537.000,51,No,1.0,1.9
133,53.11636333,49.94080900,983.900,977.600,8.6,10,Yes,3D,21:58:40.000 02/02/2026,2404:165538.000,51,No,1.0,1.9
134,53.11659833,49.94078833,984.400,978.100,8.6,10,Yes,3D,21:58:41.000 02/02/2026,2404:165539.000,51,No,0.9,1.9
135,53.11683417,49.94077483,985.000,978.700,8.2,10,Yes,3D,21:58:42.000 02/02/2026,2404:165540.000,51,No,0.9,1.9
136,53.11707150,49.94076750,985.500,979.200,7.5,10,Yes,3D,21:58:43.000 02/02/2026,2404:165541.000,51,No,0.9,1.9
137,53.11730883,49.94076583,986.000,979.700,8.2,10,Yes,3D,21:58:44.000 02/02/2026,2404:165542.000,51,No,0.9,1.9
138,53.11754483,49.94076950,986.400,980.100,8.2,10,Yes,3D,21:58:45.000 02/02/2026,2404:165543.000,51,No,0.9,1.9
139,53.11778083,49.94077917,986.800,980.500,7.5,10,Yes,3D,21:58:46.000 02/02/2026,2404:165544.000,51,No,0.9,1.9
140,53.11801767,49.94079267,987.100,980.800,7.8,10,Yes,3D,21:58:47.000 02/02/2026,2404:165545.000,51,No,0.9,1.9
141,53.11825533,49.94081350,987.400,981.100,11.0,10,Yes,3D,21:58:48.000 02/02/2026,2404:165546.000,51,No,0.9,1.9
142,53.11849300,49.94083950,987.800,981.500,10.6,10,Yes,3D,21:58:49.000 02/02/2026,2404:165547.000,55,No,0.9,1.9
143,53.11873083,49.94087150,988.400,982.100,11.0,10,Yes,3D,21:58:50.000 02/02/2026,2404:165548.000,55,No,0.9,1.9
144,53.11896800,49.94091100,988.600,982.300,10.2,10,Yes,3D,21:58:51.000 02/02/2026,2404:165549.000,55,No,0.9,1.9
145,53.11920300,49.94095550,989.100,982.800,10.6,10,Yes,3D,21:58:52.000 02/02/2026,2404:165550.000,55,No,0.9,1.9
146,53.11944017,49.94100483,989.800,983.500,7.5,10,Yes,3D,21:58:53.000 02/02/2026,2404:165551.000,55,No,0.9,1.9
147,53.11967850,49.94105900,990.300,984.000,7.5,10,Yes,3D,21:58:54.000 02/02/2026,2404:165552.000,55,No,0.9,1.9
148,53.11991783,49.94111783,990.800,984.500,7.8,10,Yes,3D,21:58:55.000 02/02/2026,2404:165553.000,54,No,0.9,1.9
149,53.12015600,49.94118300,991.200,984.900,7.5,10,Yes,3D,21:58:56.000 02/02/2026,2404:165554.000,54,No,0.9,1.9
150,53.12039617,49.94125467,991.500,985.200,7.5,10,Yes,3D,21:58:57.000 02/02/2026,2404:165555.000,54,No,0.9,1.9
151,53.12063450,49.94133100,992.000,985.700,7.8,10,Yes,3D,21:58:58.000 02/02/2026,2404:165556.000,54,No,0.9,1.9
152,53.12087117,49.94141233,992.200,985.900,7.8,10,Yes,3D,21:58:59.000 02/02/2026,2404:165557.000,54,No,0.9,1.9
153,53.12110833,49.94150017,992.600,986.300,8.2,10,Yes,3D,21:59:00.000 02/02/2026,2404:165558.000,54,No,0.9,1.9
154,53.12134400,49.94159250,993.000,986.700,8.2,10,Yes,3D,21:59:01.000 02/02/2026,2404:165559.000,54,No,0.9,1.9
155,53.12157867,49.94168883,993.400,987.100,8.2,10,Yes,3D,21:59:02.000 02/02/2026,2404:165560.000,54,No,0.9,1.9
156,53.12181367,49.94179283,993.800,987.500,7.8,10,Yes,3D,21:59:03.000 02/02/2026,2404:165561.000,53,No,0.9,1.9
157,53.12204750,49.94190183,994.100,987.800,8.2,10,Yes,3D,21:59:04.000 02/02/2026,2404:165562.000,53,No,0.9,1.9
158,53.12228133,49.94202767,996.200,989.900,11.4,10,Yes,3D,21:59:05.000 02/02/2026,2404:165563.000,55,No,1.0,2.1
159,53.12251750,49.94214800,997.400,991.100,11.4,10,Yes,3D,21:59:06.000 02/02/2026,2404:165564.000,55,No,0.9,1.9
160,53.12275117,49.94227333,998.000,991.700,11.0,10,Yes,3D,21:59:07.000 02/02/2026,2404:165565.000,55,No,0.9,1.9
161,53.12298050,49.94240300,998.600,992.300,11.0,10,Yes,3D,21:59:08.000 02/02/2026,2404:165566.000,55,No,0.9,1.9
162,53.12322167,49.94254400,997.600,991.300,10.2,10,Yes,3D,21:59:09.000 02/02/2026,2404:165567.000,55,No,1.0,2.0
163,53.12346283,49.94268967,996.500,990.200,11.0,10,Yes,3D,21:59:10.000 02/02/2026,2404:165568.000,55,No,1.0,2.0
164,53.12370233,49.94284250,996.000,989.700,10.2,10,Yes,3D,21:59:11.000 02/02/2026,2404:165569.000,55,No,1.0,2.0
165,53.12394233,49.94299933,995.600,989.300,10.2,10,Yes,3D,21:59:12.000 02/02/2026,2404:165570.000,55,No,1.0,2.0
166,53.12418050,49.94316583,994.500,988.200,12.5,10,Yes,3D,21:59:13.000 02/02/2026,2404:165571.000,55,No,1.0,2.0
167,53.12440217,49.94332817,994.800,988.500,11.4,10,Yes,3D,21:59:14.000 02/02/2026,2404:165572.000,56,No,0.9,1.9
168,53.12462467,49.94349483,995.500,989.200,11.0,10,Yes,3D,21:59:15.000 02/02/2026,2404:165573.000,56,No,0.9,1.9
169,53.12484333,49.94366750,995.800,989.500,8.2,10,Yes,3D,21:59:16.000 02/02/2026,2404:165574.000,55,No,0.9,1.9
170,53.12506317,49.94384550,996.200,989.900,7.5,10,Yes,3D,21:59:17.000 02/02/2026,2404:165575.000,51,No,0.9,1.9
171,53.12528100,49.94402750,996.900,990.600,7.8,10,Yes,3D,21:59:18.000 02/02/2026,2404:165576.000,51,No,0.9,1.9
172,53.12550267,49.94420550,996.500,990.200,7.8,10,Yes,3D,21:59:19.000 02/02/2026,2404:165577.000,52,No,1.0,2.0
173,53.12571533,49.94439883,997.000,990.700,7.8,10,Yes,3D,21:59:20.000 02/02/2026,2404:165578.000,55,No,0.9,1.9
174,53.12592583,49.94459717,997.200,990.900,7.5,10,Yes,3D,21:59:21.000 02/02/2026,2404:165579.000,55,No,0.9,1.9
175,53.12613550,49.94480167,997.400,991.100,7.5,10,Yes,3D,21:59:22.000 02/02/2026,2404:165580.000,55,No,0.9,1.9
176,53.12634350,49.94501167,997.100,990.800,7.5,10,Yes,3D,21:59:23.000 02/02/2026,2404:165581.000,55,No,0.9,1.9
177,53.12655150,49.94522583,997.200,990.900,7.5,10,Yes,3D,21:59:24.000 02/02/2026,2404:165582.000,55,No,0.9,1.9
178,53.12675600,49.94544500,996.700,990.400,7.5,10,Yes,3D,21:59:25.000 02/02/2026,2404:165583.000,55,No,0.9,1.9
179,53.12695950,49.94567117,995.700,989.400,7.5,10,Yes,3D,21:59:26.000 02/02/2026,2404:165584.000,56,No,0.9,1.9
180,53.12717250,49.94590467,995.700,989.400,7.5,10,Yes,3D,21:59:27.000 02/02/2026,2404:165585.000,56,No,0.9,1.9
181,53.12739450,49.94612433,995.100,988.800,7.8,4,Yes,3D,21:59:28.000 02/02/2026,2404:165586.000,56,No,3.5,8.3
182,,,,,11.0,0,No,,21:59:29.000 02/02/2026,2404:165587.000,56,No,100.0,100.0
183,,,,,11.0,0,No,,21:59:30.000 02/02/2026,2404:165588.000,60,No,100.0,100.0
184,,,,,10.6,0,No,,21:59:31.000 02/02/2026,2404:165589.000,59,No,100.0,100.0
185,,,,,11.0,0,No,,21:59:32.000 02/02/2026,2404:165590.000,59,No,100.0,100.0
186,,,,,11.4,0,No,,21:59:33.000 02/02/2026,2404:165591.000,59,No,100.0,100.0
187,,,,,10.6,0,No,,21:59:34.000 02/02/2026,2404:165592.000,59,No,100.0,100.0
188,,,,,11.4,0,No,,21:59:35.000 02/02/2026,2404:165593.000,59,No,100.0,100.0
189,,,,,11.0,0,No,,21:59:36.000 02/02/2026,2404:165594.000,59,No,100.0,100.0
190,,,,,11.0,0,No,,21:59:37.000 02/02/2026,2404:165595.000,58,No,100.0,100.0
191,,,,,10.6,0,No,,21:59:38.000 02/02/2026,2404:165596.000,58,No,100.0,100.0
192,,,,,11.8,0,No,,21:59:39.000 02/02/2026,2404:165597.000,58,No,100.0,100.0
193,,,,,10.6,0,No,,21:59:40.000 02/02/2026,2404:165598.000,58,No,100.0,100.0
194,,,,,10.2,0,No,,21:59:41.000 02/02/2026,2404:165599.000,58,No,100.0,100.0
195,,,,,10.6,0,No,,21:59:42.000 02/02/2026,2404:165600.000,58,No,100.0,100.0
196,,,,,10.2,0,No,,21:59:43.000 02/02/2026,2404:165601.000,58,No,100.0,100.0
197,,,,,10.6,0,No,,21:59:44.000 02/02/2026,2404:165602.000,58,No,100.0,100.0
198,,,,,10.6,0,No,,21:59:45.000 02/02/2026,2404:165603.000,58,No,100.0,100.0
199,,,,,11.8,0,No,,21:59:46.000 02/02/2026,2404:165604.000,58,No,100.0,100.0
200,,,,,10.2,0,No,,21:59:47.000 02/02/2026,2404:165605.000,57,No,100.0,100.0
201,,,,,10.2,0,No,,21:59:48.000 02/02/2026,2404:165606.000,57,No,100.0,100.0
202,,,,,11.8,0,No,,21:59:49.000 02/02/2026,2404:165607.000,57,No,100.0,100.0
203,,,,,10.6,0,No,,21:59:50.000 02/02/2026,2404:165608.000,57,No,100.0,100.0
